"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Conservation","Invasive"
"https://id.biodiversity.org.au/node/apni/2893815","Eucalyptus pleurocarpa","Schauer","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Mealy Gum","6","Queensland : Conservation Status | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2894238","Fimbristylis elegans","S.T.Blake","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Fimbristylis",,"6","",""
"https://id.biodiversity.org.au/node/apni/2894553","Amaranthus graecizans","L.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Amaranthus",,"6","",""
"https://id.biodiversity.org.au/node/apni/2895239","Heliotropium plumosum","Craven","species","Plantae","Charophyta","Equisetopsida",,"Boraginaceae","Heliotropium",,"6","",""
"https://id.biodiversity.org.au/node/apni/2895265","Fimbristylis macrantha","Boeckeler","species","Plantae","Charophyta","Equisetopsida","Poales","Cyperaceae","Fimbristylis",,"6","",""
"https://id.biodiversity.org.au/node/apni/2895275","Callerya pilipes","(F.M.Bailey) Schot","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Callerya","Northern Wisteria","6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2895311","Dierama pulcherrimum","(Hook.f.) Baker","species","Plantae","Charophyta","Equisetopsida","Asparagales","Iridaceae","Dierama",,"6","",""
"https://id.biodiversity.org.au/node/apni/2895452","Billardiera longiflora","Labill.","species","Plantae","Charophyta","Equisetopsida","Apiales","Pittosporaceae","Billardiera","Purple Appleberry","6","",""
"https://id.biodiversity.org.au/node/apni/2895479","Marsdenia rara","P.I.Forst.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Apocynaceae","Marsdenia",,"6","",""
"https://id.biodiversity.org.au/node/apni/2895505","Furcraea selloa","K.Koch","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Furcraea",,"6","",""
"https://id.biodiversity.org.au/node/apni/2895698","Solanum ultimum","A.R.Bean","species","Plantae","Charophyta","Equisetopsida","Solanales","Solanaceae","Solanum",,"6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2895829","Daviesia benthamii","Meisn.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Daviesia",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2895958","Ursinia speciosa","DC.","species","Plantae","Charophyta","Equisetopsida","Asterales","Asteraceae","Ursinia",,"6","",""
"https://id.biodiversity.org.au/node/apni/2895981","Burmannia juncea","R.Br.","species","Plantae","Charophyta","Equisetopsida","Dioscoreales","Burmanniaceae","Burmannia",,"6","",""
"https://id.biodiversity.org.au/node/apni/2896113","Amelichloa caudata","(Trin.) Arriaga & Barkworth","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Amelichloa",,"6","",""
"https://id.biodiversity.org.au/node/apni/2896321","Croton multicaulis","P.I.Forst.","species","Plantae","Charophyta","Equisetopsida","Malpighiales","Euphorbiaceae","Croton",,"6","",""
"https://id.biodiversity.org.au/node/apni/2896349","Eucalyptus brockwayi","C.A.Gardner","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Eucalyptus","Dundas Mahogany","6","Queensland : Conservation Status | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2896546","Heliotropium lapidicola","Craven","species","Plantae","Charophyta","Equisetopsida",,"Boraginaceae","Heliotropium",,"6","",""
"https://id.biodiversity.org.au/node/apni/2896743","Crossandra infundibuliformis","(L.) Nees","species","Plantae","Charophyta","Equisetopsida","Lamiales","Acanthaceae","Crossandra",,"6","",""
"https://id.biodiversity.org.au/node/apni/2897289","Neololeba atra","(Lindl.) Widjaja","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Neololeba",,"6","",""
"https://id.biodiversity.org.au/node/apni/2897706","Hibiscus heterophyllus x Hibiscus splendens","Vent. x Hibiscus splendens C.Fraser ex Graham","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Hibiscus",,"6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2897743","Campanula rapunculoides","L.","species","Plantae","Charophyta","Equisetopsida","Asterales","Campanulaceae","Campanula","Creeping Bellflower","6","",""
"https://id.biodiversity.org.au/node/apni/2898174","Valerianella locusta","(L.) Laterr.","species","Plantae","Charophyta","Equisetopsida","Dipsacales","Caprifoliaceae","Valerianella","Cornsalad","6","",""
"https://id.biodiversity.org.au/node/apni/2898194","Cynodon aethiopicus","Clayton & J.R.Harlan","species","Plantae","Charophyta","Equisetopsida","Poales","Poaceae","Cynodon","African Stargrass","6","",""
"https://id.biodiversity.org.au/node/apni/2898579","Thismia clavarioides","K.R.Thiele","species","Plantae","Charophyta","Equisetopsida","Dioscoreales","Thismiaceae","Thismia",,"6","",""
"https://id.biodiversity.org.au/node/apni/2898721","Acacia deuteroneura","Pedley","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Acacia",,"6","Queensland : Conservation Status | EPBC Act Threatened Species | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2899309","Aloe parvibracteata","Schönland","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asphodelaceae","Aloe",,"6","",""
"https://id.biodiversity.org.au/node/apni/2899562","Pterocarpus indicus","Willd.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Pterocarpus","Burmese Bloodwood","6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2899811","Schizaea malaccana","Baker","species","Plantae","Charophyta","Equisetopsida","Schizaeales","Schizaeaceae","Schizaea",,"6","",""
