Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Conservation,Invasive
https://id.biodiversity.org.au/node/apni/2890259,Podolepis longipedata,A.Cunn. ex DC.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Podolepis,Tall Copper-wire Daisy,,
https://id.biodiversity.org.au/node/apni/2890310,Tephrosia glomeruliflora,Meisn.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Tephrosia,Pink Tephrosia,,Non-native species
https://id.biodiversity.org.au/node/apni/2890656,Acacia implexa,Benth.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Black Wattle,,Non-native species | Weeds listing  Queensland Government
https://id.biodiversity.org.au/node/apni/2890697,Praxelis clematidea,R.M.King & H.Rob.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Praxelis,Giant Bluetop,,Non-native species | Weeds listing  Queensland Government | National Weeds Lists
https://id.biodiversity.org.au/node/apni/2890983,Macadamia tetraphylla,L.A.S.Johnson,species,Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Macadamia,Rough-shelled Bush Nut,Queensland : Conservation Status | EPBC Act Threatened Species | New South Wales : Conservation Status,
https://id.biodiversity.org.au/node/apni/2891008,Eragrostis pilosa,(L.) P.Beauv.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Eragrostis,Indian Love Grass,,Non-native species
https://id.biodiversity.org.au/node/apni/2891489,Senecio amygdalifolius,F.Muell.,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Senecio,,,
https://id.biodiversity.org.au/node/apni/2891594,Vigna marina,(Burm.) Merr.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Vigna,Dune Bean,,
https://id.biodiversity.org.au/node/apni/2891749,Pandanus tectorius,Parkinson,species,Plantae,Charophyta,Equisetopsida,Pandanales,Pandanaceae,Pandanus,Screw Pine,,
https://id.biodiversity.org.au/node/apni/2892224,Bothriochloa decipiens,(Hack.) C.E.Hubb.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Bothriochloa,Red Grass,,
